,commentIds,comments
0,FDA-2012-D-0071-0272,If people are stupid enough to smoke then let them do that. Don't force helpless animals to smoke. This is so cruel and whoever are doing this I would like to have it done to them. Shame on you!
1,FDA-2012-D-0071-0391,We know what tobacco does already....this is sheer stupidity and ignorance. Take this money and help the animals or elderly or disabled. What is going on in this world?
2,FDA-2013-N-0521-0306,"Comment from the Honorable Brian White, House of Representatives"
3,FDA-2009-N-0294-0059,I believe this product needs to be banned altogether. I have inlaws that are in very poor health and are so hooked on tobacco that even after major surgery for both of them they still refuse to quit. Part of their health issues are due to prolonged tobacco use. Individuals who use tobacco products should be required to pay higher medical premiums instead of everyone baring the cost. A product that causes this much damage should be eliminated.
4,FDA-2012-D-0071-0243,"Please do not allow language that encourages or allows new animal testing for the Tobacco association. Animal testing is not needed. Animals develop different diseases  than humans do, have different reactions to tobacco smoke than humans do. Additionally shoving rats in tubes and having concentrated smoke blown in their face is a horrible way to test the side effects of tobacco, it doesn't seem to be related to how humans inhale tobacco smoke at all. Please encourage the Tobacco industry to find alternative, humane methods of testing their products. "
5,FDA-2013-N-0521-0354,Comment from Leslie Nelson Capitol Service Stations
6,TTB-2010-0004-0153,"Don't we have enough taxes ....leave pipe tobacco the way it is ,no need to up the price.....Give a poor man a break!!!"
7,FDA-2012-D-0071-1628,"Please do not continue to allow tobacco companies to test on animals- this is an archaic practice, which is neither informative, nor necessary!"
8,FDA-2012-D-0071-0875,stop the uneccessary cruelty. There are alternatives to animal testing
9,FDA-2012-D-0071-1664,"Tens of millions of animals are prisoners in research labs where scientists conduct experiments on them. Some experiments are lethal; the subjects of others live to see another day — and another experiment. Much of this research is not only cruel; it is useless and even silly. Please help us to fight off THE HOLOCAUST OF XXI century. The laboratory’s testing on animals is useless, unworkable horrifying cruelty!"
10,FDA-2012-N-0920-0007,See attached file(s)
11,FDA-2012-N-0920-0004,Cigar Association of America
13,FDA-2012-D-0071-0475,"Please revise your recommendations so that no animals suffer and die for tobacco product testing. Tobacco is not worth taking lifes!Sincerely,Magenta Loera"
15,FDA-2012-D-0071-1735,"Please remove any language recommending or allowing animal tests on tobacco product testing. No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed. These cruel  and deadly tests are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers. Please do the compassionate thing and remove any language allowing animal tests.Thank you for your consideration of this request,Brian Field"
16,FDA-2013-N-0521-0202,See attached file(s)
19,FDA-2012-D-0071-1150,"Stop the inhumane, cruel and totally unnecessary animal tests NOW! We have known for decades about the negative affects/effects of tobacco usage. "
